datetime,vis,sst,wind_gust
2023-06-07 12:00:00,23138.42,29.68,4.1
2023-06-07 13:00:00,23138.42,29.68,3.74
2023-06-07 14:00:00,24135.02,29.65,3.38
2023-06-07 15:00:00,24135.02,29.65,3.02
2023-06-07 16:00:00,24135.02,29.65,3.12
2023-06-07 17:00:00,24135.18,29.63,3.21
2023-06-07 18:00:00,24135.18,29.63,3.31
2023-06-07 19:00:00,24135.18,29.63,3.24
2023-06-07 20:00:00,24134.91,29.75,3.17
2023-06-07 21:00:00,24134.91,29.75,3.1
2023-06-07 22:00:00,24134.91,29.75,3.11
2023-06-07 23:00:00,24134.93,30.38,3.11
2023-06-08 00:00:00,24134.93,30.38,3.12
2023-06-08 01:00:00,24134.93,30.38,3.18
2023-06-08 02:00:00,24134.88,30.55,3.24
2023-06-08 03:00:00,24134.88,30.55,3.3
2023-06-08 04:00:00,24134.88,30.55,3.47
2023-06-08 05:00:00,24135.08,29.65,3.64
2023-06-08 06:00:00,24135.08,29.65,3.8
2023-06-08 07:00:00,24135.08,29.65,4.41
2023-06-08 08:00:00,24135.25,29.65,5.01
2023-06-08 09:00:00,24135.25,29.65,5.61
2023-06-08 10:00:00,24135.25,29.65,5.64
2023-06-08 11:00:00,24135.27,29.66,5.68
2023-06-08 12:00:00,24135.27,29.66,5.71
2023-06-08 13:00:00,24135.27,29.66,5.68
2023-06-08 14:00:00,24135.09,29.66,5.65
2023-06-08 15:00:00,24135.09,29.66,5.62
2023-06-08 16:00:00,24135.09,29.66,5.75
2023-06-08 17:00:00,14612.54,29.75,5.88
2023-06-08 18:00:00,14612.54,29.75,6.01
2023-06-08 19:00:00,14612.54,29.75,6.24
2023-06-08 20:00:00,24134.78,29.66,6.48
2023-06-08 21:00:00,24134.78,29.66,6.72
2023-06-08 22:00:00,24134.78,29.66,6.85
2023-06-08 23:00:00,24135.01,29.78,6.98
2023-06-09 00:00:00,24135.01,29.78,7.11
2023-06-09 01:00:00,24135.01,29.78,7.15
2023-06-09 02:00:00,24134.97,29.76,7.18
2023-06-09 03:00:00,24134.97,29.76,7.21
2023-06-09 04:00:00,24134.97,29.76,7.31
2023-06-09 05:00:00,24135.0,29.77,7.41
2023-06-09 06:00:00,24135.0,29.77,7.5
2023-06-09 07:00:00,24135.0,29.77,7.73
2023-06-09 08:00:00,24135.0,29.79,7.97
2023-06-09 09:00:00,24135.0,29.79,8.2
2023-06-09 10:00:00,24135.0,29.79,8.2
2023-06-09 11:00:00,24135.12,29.75,8.2
2023-06-09 12:00:00,24135.12,29.75,8.21
2023-06-09 13:00:00,24135.12,29.75,8.08
2023-06-09 14:00:00,3955.45,29.71,7.96
2023-06-09 15:00:00,3955.45,29.71,7.83
2023-06-09 16:00:00,3955.45,29.71,8.06
2023-06-09 17:00:00,24135.05,29.75,8.29
2023-06-09 18:00:00,24135.05,29.75,8.51
2023-06-09 19:00:00,24135.05,29.75,8.74
2023-06-09 20:00:00,24134.98,29.71,8.97
2023-06-09 21:00:00,24134.98,29.71,9.2
2023-06-09 22:00:00,24134.98,29.71,9.1
2023-06-09 23:00:00,24134.72,29.85,9.0
2023-06-10 00:00:00,24134.72,29.85,8.9
2023-06-10 01:00:00,24134.72,29.85,8.87
2023-06-10 02:00:00,24135.01,29.71,8.84
2023-06-10 03:00:00,24135.01,29.71,8.8
2023-06-10 04:00:00,24135.01,29.71,8.88
2023-06-10 05:00:00,24135.01,29.71,8.95
2023-06-10 06:00:00,24135.01,29.71,9.02
2023-06-10 07:00:00,24135.01,29.71,9.22
2023-06-10 08:00:00,24134.86,29.72,9.42
2023-06-10 09:00:00,24134.86,29.72,9.62
2023-06-10 10:00:00,24134.86,29.72,9.44
2023-06-10 11:00:00,15748.24,29.76,9.27
2023-06-10 12:00:00,15748.24,29.76,9.1
2023-06-10 13:00:00,15748.24,29.76,8.93
2023-06-10 14:00:00,24135.05,29.75,8.77
2023-06-10 15:00:00,24135.05,29.75,8.6
2023-06-10 16:00:00,24135.05,29.75,8.64
2023-06-10 17:00:00,14976.21,29.75,8.68
2023-06-10 18:00:00,14976.21,29.75,8.72
2023-06-10 19:00:00,14976.21,29.75,8.82
2023-06-10 20:00:00,24135.3,29.76,8.92
2023-06-10 21:00:00,24135.3,29.76,9.01
2023-06-10 22:00:00,24135.3,29.76,8.88
2023-06-10 23:00:00,24135.28,29.76,8.75
2023-06-11 00:00:00,24135.28,29.76,8.62
2023-06-11 01:00:00,24135.28,29.76,8.68
2023-06-11 02:00:00,24135.07,29.71,8.74
2023-06-11 03:00:00,24135.07,29.71,8.8
2023-06-11 04:00:00,24135.07,29.71,9.34
2023-06-11 05:00:00,24134.9,29.77,9.88
2023-06-11 06:00:00,24134.9,29.77,10.43
2023-06-11 07:00:00,24134.9,29.77,10.38
2023-06-11 08:00:00,24134.74,29.73,10.34
2023-06-11 09:00:00,24134.74,29.73,10.3
2023-06-11 10:00:00,24134.74,29.73,9.94
2023-06-11 11:00:00,24134.92,29.75,9.57
2023-06-11 12:00:00,24134.92,29.75,9.21
2023-06-11 13:00:00,24134.92,29.75,9.14
2023-06-11 14:00:00,5628.58,29.7,9.07
2023-06-11 15:00:00,5628.58,29.7,9.0
2023-06-11 16:00:00,5628.58,29.7,9.04
2023-06-11 17:00:00,24135.13,29.74,9.07
2023-06-11 18:00:00,24135.13,29.74,9.1
2023-06-11 19:00:00,24135.13,29.74,9.01
2023-06-11 20:00:00,24134.67,29.68,8.92
2023-06-11 21:00:00,24134.67,29.68,8.82
2023-06-11 22:00:00,24134.67,29.68,8.55
2023-06-11 23:00:00,24135.08,29.75,8.27
2023-06-12 00:00:00,24135.08,29.75,8.0
2023-06-12 01:00:00,24135.08,29.75,7.7
2023-06-12 02:00:00,24135.18,29.68,7.4
2023-06-12 03:00:00,24135.18,29.68,7.1
2023-06-12 04:00:00,24135.18,29.68,7.14
2023-06-12 05:00:00,24135.36,29.62,7.18
2023-06-12 06:00:00,24135.36,29.62,7.21
2023-06-12 07:00:00,24135.36,29.62,7.24
2023-06-12 08:00:00,24135.02,29.6,7.27
2023-06-12 09:00:00,24135.02,29.6,7.3
2023-06-12 10:00:00,24135.02,29.6,7.4
2023-06-12 11:00:00,14859.18,29.61,7.5
2023-06-12 12:00:00,14859.18,29.61,7.6
2023-06-12 13:00:00,14859.18,29.61,7.31
2023-06-12 14:00:00,24134.88,29.61,7.02
2023-06-12 15:00:00,24134.88,29.61,6.73
2023-06-12 16:00:00,24134.88,29.61,6.8
2023-06-12 17:00:00,24135.04,29.65,6.86
2023-06-12 18:00:00,24135.04,29.65,6.92
2023-06-12 19:00:00,24135.04,29.65,6.92
2023-06-12 20:00:00,24135.1,29.66,6.92
2023-06-12 21:00:00,24135.1,29.66,6.92
2023-06-12 22:00:00,24135.1,29.66,6.75
2023-06-12 23:00:00,24135.09,29.86,6.59
2023-06-13 00:00:00,24135.09,29.86,6.42
2023-06-13 01:00:00,24135.09,29.86,6.29
2023-06-13 02:00:00,24135.13,29.95,6.15
2023-06-13 03:00:00,24135.13,29.95,6.02
2023-06-13 04:00:00,24135.13,29.95,6.12
2023-06-13 05:00:00,24134.94,29.69,6.21
2023-06-13 06:00:00,24134.94,29.69,6.31
2023-06-13 07:00:00,24134.94,29.69,6.38
2023-06-13 08:00:00,24135.23,29.68,6.46
2023-06-13 09:00:00,24135.23,29.68,6.54
2023-06-13 10:00:00,24135.23,29.68,6.42
2023-06-13 11:00:00,24134.81,29.65,6.31
2023-06-13 12:00:00,24134.81,29.65,6.2
2023-06-13 13:00:00,24134.81,29.65,6.1
2023-06-13 14:00:00,24135.04,29.67,6.0
2023-06-13 15:00:00,24135.04,29.67,5.91
2023-06-13 16:00:00,24135.04,29.67,5.88
2023-06-13 17:00:00,24135.24,29.66,5.86
2023-06-13 18:00:00,24135.24,29.66,5.83
2023-06-13 19:00:00,24135.24,29.66,6.13
2023-06-13 20:00:00,24135.1,29.65,6.42
2023-06-13 21:00:00,24135.1,29.65,6.72
2023-06-13 22:00:00,24135.1,29.65,6.75
2023-06-13 23:00:00,14730.9,29.75,6.79
2023-06-14 00:00:00,14730.9,29.75,6.82
2023-06-14 01:00:00,14730.9,29.75,7.02
2023-06-14 02:00:00,24135.01,29.75,7.23
2023-06-14 03:00:00,24135.01,29.75,7.43
2023-06-14 04:00:00,24135.01,29.75,7.4
2023-06-14 05:00:00,24135.04,29.63,7.36
2023-06-14 06:00:00,24135.04,29.63,7.33
2023-06-14 07:00:00,24135.04,29.63,7.45
2023-06-14 08:00:00,24134.75,29.69,7.58
2023-06-14 09:00:00,24134.75,29.69,7.7
2023-06-14 10:00:00,24134.75,29.69,7.57
2023-06-14 11:00:00,23747.62,29.65,7.44
2023-06-14 12:00:00,23747.62,29.65,7.3
2023-06-14 13:00:00,23747.62,29.65,7.37
2023-06-14 14:00:00,24134.8,29.65,7.43
2023-06-14 15:00:00,24134.8,29.65,7.5
2023-06-14 16:00:00,24134.8,29.65,7.44
2023-06-14 17:00:00,24135.1,29.65,7.38
2023-06-14 18:00:00,24135.1,29.65,7.32
2023-06-14 19:00:00,24135.1,29.65,7.18
2023-06-14 20:00:00,24135.04,29.69,7.04
2023-06-14 21:00:00,24135.04,29.69,6.9
2023-06-14 22:00:00,24135.04,29.69,6.74
2023-06-14 23:00:00,24135.07,29.86,6.57
2023-06-15 00:00:00,24135.07,29.86,6.41
